ORIGINAL SENTENCE,Sentence,Command,CATEGORY
"I’m planning on a trip to Paris, France next month.Update place to Madrid, Spain.","I’m planning on a trip to Paris, France next month.","Update place to Madrid, Spain.",COMMAND
I have always dreamt of visiting the ancient ruins of Pompeii in France.Edit location to Italy.,I have always dreamt of visiting the ancient ruins of Pompeii in France.,Edit location to Italy.,COMMAND
My family and I are planning a road trip to Yellowstone National Park in Las Vegas this summer.Change Las Vegas to Wyoming.,My family and I are planning a road trip to Yellowstone National Park in Las Vegas this summer.,Change Las Vegas to Wyoming.,COMMAND
"I have a colleague who lives in Sydney, Africa, and she always talks about how beautiful the beaches are there.Rewrite country to Australia.","I have a colleague who lives in Sydney, Africa, and she always talks about how beautiful the beaches are there.",Rewrite country to Australia.,COMMAND
"Have you ever been to the Louvre Museum in Argentina?Replace Argentina with Paris.
",Have you ever been to the Louvre Museum in Argentina?,"Replace Argentina with Paris.
",COMMAND
"The Taj Mahal is a beautiful mausoleum located in Wuhan, China.Alter location to Agra, India.","The Taj Mahal is a beautiful mausoleum located in Wuhan, China.","Alter location to Agra, India.",COMMAND
"On my last vacation, I went on a safari in the Maasai Maara National Reserve in California.Correct place to Kenya.","On my last vacation, I went on a safari in the Maasai Maara National Reserve in California.",Correct place to Kenya.,COMMAND
"After college, I moved to New York City to pursue my career in finance.Update New York City to London.","After college, I moved to New York City to pursue my career in finance.",Update New York City to London.,COMMAND
"My dream is to travel to all seven continents, including visiting penguins in Asia.Change the continent to Antarctica.","My dream is to travel to all seven continents, including visiting penguins in Asia.",Change the continent to Antarctica.,COMMAND
I have heard that the food in Italy is amazing.Update place to Japan.,I have heard that the food in Italy is amazing.,Update place to Japan.,COMMAND
The play has a running time of sixty minutesModify duration to ninety minutes.,The play has a running time of sixty minutes,Modify duration to ninety minutes.,COMMAND
I am planning to study abroad for one semester.Update duration to two semesters.,I am planning to study abroad for one semester.,Update duration to two semesters.,COMMAND
She’s been married for ten years.Rewrite time span to fifteen.,She’s been married for ten years.,Rewrite time span to fifteen.,COMMAND
The flight from New York to Los Angeles takes about three hours.Change three hours to six hours.,The flight from New York to Los Angeles takes about three hours.,Change three hours to six hours.,COMMAND
The movie is two hours thirty minutes long.Correct duration to two hours forty five minutes long.,The movie is two hours thirty minutes long.,Correct duration to two hours forty five minutes long.,COMMAND
He has a six-month probationary period at his new job.Revise extent to eight-months.,He has a six-month probationary period at his new job.,Revise extent to eight-months.,COMMAND
The exhibit at the museum is open for two weeks.Edit duration to four weeks.,The exhibit at the museum is open for two weeks.,Edit duration to four weeks.,COMMAND
The play has eight performances over the course of one week.Amend the span to two weeks.,The play has eight performances over the course of one week.,Amend the span to two weeks.,COMMAND
I am going on vacation for two weeks.Change duration to one week.,I am going on vacation for two weeks.,Change duration to one week.,COMMAND
"He has been working on this project for over one month.Update duration to three months.
",He has been working on this project for over one month.,"Update duration to three months.
",COMMAND
"She’s only three years old, but she can count to ten.Change age to two.","She’s only three years old, but she can count to ten.",Change age to two.,COMMAND
She’s in her mid-twenties.Update age to mid-forties.,She’s in her mid-twenties.,Update age to mid-forties.,COMMAND
"He’s too young to join the military, he’s only thirteen.Revise thirteen to seventeen.","He’s too young to join the military, he’s only thirteen.",Revise thirteen to seventeen.,COMMAND
He’s going to be six next month and is very excited about his birthday.Edit years to five.,He’s going to be six next month and is very excited about his birthday.,Edit years to five.,COMMAND
The Taj Mahal in India is 50 years old.Convert age to 350.,The Taj Mahal in India is 50 years old.,Convert age to 350.,COMMAND
The Angkor Wat Temple in Cambodia is 450 years old.Modify 450 to 1000.,The Angkor Wat Temple in Cambodia is 450 years old.,Modify 450 to 1000.,COMMAND
"He’s the oldest person in his family, he is eighty two years old.Update age to ninety two.","He’s the oldest person in his family, he is eighty two years old.",Update age to ninety two.,COMMAND
The oldest known recipe is 500 years old.Change age to 1000.,The oldest known recipe is 500 years old.,Change age to 1000.,COMMAND
The Great Mosque of Mecca of Saudi Arabia is over 500 years old.Modify 500 to 1400.,The Great Mosque of Mecca of Saudi Arabia is over 500 years old.,Modify 500 to 1400.,COMMAND
The oldest known book is 500 years old.Convert age to 5000.,The oldest known book is 500 years old.,Convert age to 5000.,COMMAND
The sky is a beautiful shade of blue today.Convert blue to grey.,The sky is a beautiful shade of blue today.,Convert blue to grey.,COMMAND
She wore a bright red dress to the party.Update colour to orange.,She wore a bright red dress to the party.,Update colour to orange.,COMMAND
He painted the walls a pale yellow colour.Change colour to pure red.,He painted the walls a pale yellow colour.,Change colour to pure red.,COMMAND
The grass is a lush green in the springtime.Modify lush green to pale yellow.,The grass is a lush green in the springtime.,Modify lush green to pale yellow.,COMMAND
She bought a new car in a metallic silver colour.Correct colour to gold.,She bought a new car in a metallic silver colour.,Correct colour to gold.,COMMAND
He wore a black suit and tie to the funeral.Edit black to white.,He wore a black suit and tie to the funeral.,Edit black to white.,COMMAND
The flowers in the garden are a vibrant shade of pink.Edit colour to blue.,The flowers in the garden are a vibrant shade of pink.,Edit colour to blue.,COMMAND
"She dyed her hair a deep, rich brown.Revise brown to blonde.","She dyed her hair a deep, rich brown.",Revise brown to blonde.,COMMAND
